#{"t_start": 1669995092.000832, "env_id": null}
r,l,t
0.00788,646,2241.261822
0.032765,1001,2246.577195
0.117091,432,2249.086958
0.164647,1001,2254.374473
0.025556,125,2255.292777
0.109535,124,2258.603988
0.190343,1001,2263.882434
0.04783,300,2265.666379
0.365409,482,2268.382958
0,449,2270.907846
0.276952,616,2274.307384
0.0237,251,2275.857323
0.119712,542,2278.970396
0.179357,255,2280.565066
0.101894,332,2284.804302
0.032848,447,2287.285859
0.351192,135,2288.285078
0.06364,413,2290.68457
0.414448,165,2291.826765
0.367557,896,2296.724473
0.007728,220,2298.173869
0,112,2299.058587
0.0146,611,2302.418909
0.14331,505,2305.298984
0.000859,728,2311.525411
0.032182,752,2315.454353
0.14921,900,2320.331326
0.070725,1001,2325.685845
0.410845,846,2330.203195
0.081614,252,2334.143328
0.646873,1001,2339.251173
0.263928,167,2340.343931
0.294411,1001,2345.437528
0.018784,357,2347.451251
0.002262,104,2348.281938
0.312263,564,2351.367027
0.645592,1001,2358.90055
0.051379,535,2361.759147
0.192274,861,2366.268136
0.542202,1001,2371.408035
0.032241,761,2375.400525
0.408724,864,2382.378451
0.255435,1001,2387.561271
0.573539,1001,2392.815804
0.06428,1001,2398.041014
0.561794,293,2399.798183
0.004896,960,2407.208413
0.023503,613,2410.513985
0.108361,906,2415.198602
0.221595,446,2417.695522
0.108228,239,2419.150108
0.21325,110,2420.003532
0.013648,213,2421.35523
0.214911,159,2422.41731
0.216574,1001,2427.627012
0.12156,479,2432.696547
0.004808,224,2434.125352
0.473307,393,2436.344005
0.011702,347,2438.374126
0.062482,47,2438.90831
0.160324,1001,2444.224377
0.11171,76,2444.903935
0.047707,259,2446.5214
0.115745,1001,2451.942708
0.134103,507,2457.246437
0.090245,1001,2462.540557
0.663251,381,2464.816313
0.032809,724,2468.797925
0.151557,571,2471.935702
0.193045,630,2475.392346
0.224102,862,2482.251095
0.007466,221,2483.633712
0.441505,436,2486.073659
0.15924,1001,2491.340297
0.193876,384,2493.573471
0.406497,583,2496.734486
0.15872,614,2500.046164
0.283218,823,2506.653465
0.2185,311,2508.455467
0.101707,346,2510.412803
0.229327,438,2512.760641
0.587733,1001,2517.849493
0.375638,892,2522.360364
0.192,573,2525.408103
0.034251,146,2526.443069
0.486288,230,2527.851108
0.527849,592,2533.287307
0.070568,1001,2538.338268
0.25445,1001,2543.458352
0.205522,102,2544.270262
0.671775,1001,2549.446377
0.018113,249,2550.95286
0.112297,885,2557.846033
0.076165,1001,2563.004354
0.080333,542,2565.948237
0.008999,151,2566.960512
0.096017,337,2568.980358
0.559241,726,2572.888333
0.301157,1001,2580.499488
0.158989,816,2585.010586
0.20475,1000,2590.31933
0.020171,267,2591.942866
0.176466,538,2594.879525
0.238786,631,2598.220948
0.110425,552,2603.784338
0.122184,1001,2608.907278
0.36617,1001,2614.075672
0.531686,576,2617.113469
0.253067,680,2620.701796
0,233,2622.107738
0.001866,199,2623.347822
0.175897,1001,2630.927577
0.366211,433,2633.408515
0.145878,54,2633.973715
0,415,2636.444975
0.084201,914,2641.405395
0.000625,476,2644.092446
0.18968,149,2645.204601
0.05628,1001,2650.470841
0.650068,1001,2658.004588
0.138425,954,2663.072752
0.222426,1001,2668.442011
1.024213,508,2671.280601
0.002743,516,2674.200687
0.015306,158,2677.752284
0.333288,59,2678.34257
1.126818,909,2683.124829
0.005858,450,2685.767775
0,172,2686.905468
0.306829,90,2687.653289
0.021034,898,2692.423961
0.519184,1001,2697.657653
0.161382,1001,2705.186665
0.178073,1001,2710.541157
0.096707,248,2712.06322
0.202985,306,2713.912079
0.00237,489,2716.556512
0.447787,1001,2721.751864
0.018972,419,2724.090479
0.291318,1001,2731.492042
0.307226,845,2736.013212
0.016116,483,2738.75856
0.176988,498,2741.469734
0.389968,904,2746.247306
0,192,2747.47344
0.591878,294,2749.188961
0.086494,327,2753.399651
0.104232,323,2755.292605
0.39311,609,2758.533943
0.118495,272,2760.15659
0.137363,771,2764.188712
0.099145,1001,2769.392425
0.065375,150,2770.413125
0.132176,89,2771.135906
0.204059,473,2773.754424
0.764655,1001,2781.13508
0.006413,85,2781.852043
0.094994,1001,2787.004913
0.640061,542,2789.947705
0.035968,311,2791.755571
0.520331,1001,2796.804774
0.614457,911,2803.926633
0.315925,433,2806.318391
0.590429,571,2809.425287
0.333979,1001,2814.540422
0.210451,435,2816.958994
0.017428,215,2818.300979
0.078638,621,2821.7114
0.298099,185,2825.394982
0.455417,303,2827.12902
0.804545,768,2831.290184
0.550982,174,2832.457694
0.021963,176,2833.659117
0.111285,242,2835.225571
0.006162,620,2838.707014
0.983511,763,2842.846775
0.087382,499,2845.634655
0.198824,318,2847.509152
0.23218,64,2848.152866
0.30758,1001,2855.752554
0.008284,130,2856.712864
0.12377,993,2861.855366
0.00822,263,2863.41198
0.050478,781,2867.520087
0.079922,872,2872.058841
0.294555,248,2876.049078
0.382776,544,2878.975651
0.051065,84,2879.699265
0.113518,183,2880.972434
0.19899,391,2883.181735
0.01022,38,2883.673171
0.546421,794,2887.929976
0.02202,1001,2893.18888
0.00557,81,2893.903337
0.286815,1001,2901.528024
0.494918,1001,2906.662268
0.656155,1001,2911.934313
0.455657,1001,2917.169055
